Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
19,Robert Woods\WoodRo02,WR,26.250,2018-12-16,NFL,LAR,,PHI,L 23-30,14,15,Sun,9,7,74,10.57,0,77.8%,8.22
20,Tyrell Williams\WillTy00,WR,26.304,2018-12-13,NFL,LAC,@,KAN,W 29-28,14,15,Thu,12,6,71,11.83,0,50.0%,5.92
21,Josh Reynolds\ReynJo00,WR,23.303,2018-12-16,NFL,LAR,,PHI,L 23-30,14,15,Sun,12,5,70,14.00,0,41.7%,5.83
22,Chris Hogan\HogaCh00,WR,30.053,2018-12-16,NFL,NWE,@,PIT,L 10-17,14,15,Sun,3,2,68,34.00,1,66.7%,22.67
23,David Johnson\JohnDa08,RB,27.000,2018-12-16,NFL,ARI,@,ATL,L 14-40,14,15,Sun,6,3,68,22.67,0,50.0%,11.33
24,Christian McCaffrey\McCaCh01,RB,22.193,2018-12-17,NFL,CAR,,NOR,L 9-12,14,15,Mon,11,8,67,8.38,0,72.7%,6.09
25,Jalen Richard\RichJa01,RB,25.062,2018-12-16,NFL,OAK,@,CIN,L 16-30,14,15,Sun,6,5,67,13.40,0,83.3%,11.17
26,Tim Patrick\PatrTi00,WR,25.022,2018-12-15,NFL,DEN,,CLE,L 16-17,14,15,Sat,8,5,65,13.00,0,62.5%,8.13
27,James Washington\WashJa00,WR,22.258,2018-12-16,NFL,PIT,,NWE,W 17-10,14,15,Sun,4,3,65,21.67,0,75.0%,16.25
28,Mike Davis\DaviMi01,RB,25.300,2018-12-16,NFL,SEA,@,SFO,L 23-26,14,15,Sun,8,8,63,7.88,0,100.0%,7.88
29,Garrett Celek\CeleGa00,TE,30.201,2018-12-16,NFL,SFO,,SEA,W 26-23,14,15,Sun,2,2,61,30.50,1,100.0%,30.50
30,Travis Kelce\KelcTr00,TE,29.069,2018-12-13,NFL,KAN,,LAC,L 28-29,14,15,Thu,9,7,61,8.71,0,77.8%,6.78
31,Brandin Cooks\CookBr00,WR,25.082,2018-12-16,NFL,LAR,,PHI,L 23-30,14,15,Sun,7,6,59,9.83,0,85.7%,8.43
32,Demaryius Thomas\ThomDe03,WR,30.355,2018-12-15,NFL,HOU,@,NYJ,W 29-22,14,15,Sat,8,6,59,9.83,0,75.0%,7.38
33,Willie Snead\SneaWi00,WR,26.060,2018-12-16,NFL,BAL,,TAM,W 20-12,14,15,Sun,6,5,58,11.60,0,83.3%,9.67
34,Travis Benjamin\BenjTr00,WR,28.349,2018-12-13,NFL,LAC,@,KAN,W 29-28,14,15,Thu,3,2,57,28.50,0,66.7%,19.00
35,DeAndre Carter\CartDe02,WR,25.249,2018-12-15,NFL,HOU,@,NYJ,W 29-22,14,15,Sat,3,2,55,27.50,0,66.7%,18.33
36,Antonio Gates\GateAn00,TE,38.178,2018-12-13,NFL,LAC,@,KAN,W 29-28,14,15,Thu,5,4,54,13.50,0,80.0%,10.80
37,Allen Robinson\RobiAl02,WR,25.114,2018-12-16,NFL,CHI,,GNB,W 24-17,14,15,Sun,7,3,54,18.00,0,42.9%,7.71
38,Tyler Conklin\ConkTy00,TE,23.139,2018-12-16,NFL,MIN,,MIA,W 41-17,14,15,Sun,3,2,53,26.50,0,66.7%,17.67
39,Chris Herndon\HernCh00,TE,22.295,2018-12-15,NFL,NYJ,,HOU,L 22-29,14,15,Sat,4,3,53,17.67,0,75.0%,13.25
40,Isaiah McKenzie\McKeIs00,WR,23.251,2018-12-16,NFL,BUF,,DET,W 14-13,14,15,Sun,7,6,53,8.83,0,85.7%,7.57
41,George Kittle\KittGe00,TE,25.068,2018-12-16,NFL,SFO,,SEA,W 26-23,14,15,Sun,8,3,51,17.00,0,37.5%,6.38
42,Chris Manhertz\ManhCh00,TE,26.251,2018-12-17,NFL,CAR,,NOR,L 9-12,14,15,Mon,2,1,50,50.00,1,50.0%,25.00
43,Antonio Brown\BrowAn04,WR,30.159,2018-12-16,NFL,PIT,,NWE,W 17-10,14,15,Sun,7,4,49,12.25,1,57.1%,7.00
44,Stefon Diggs\DiggSt00,WR,25.017,2018-12-16,NFL,MIN,,MIA,W 41-17,14,15,Sun,7,4,49,12.25,1,57.1%,7.00
45,Michael Thomas\ThomMi05,WR,25.289,2018-12-17,NFL,NOR,@,CAR,W 12-9,14,15,Mon,9,7,49,7.00,0,77.8%,5.44
46,Matt Breida\BreiMa00,RB,23.291,2018-12-16,NFL,SFO,,SEA,W 26-23,14,15,Sun,5,5,46,9.20,0,100.0%,9.20
47,Jamison Crowder\CrowJa00,WR,25.182,2018-12-16,NFL,WAS,@,JAX,W 16-13,14,15,Sun,4,4,46,11.50,0,100.0%,11.50
48,Gerald Everett\EverGe00,TE,24.174,2018-12-16,NFL,LAR,,PHI,L 23-30,14,15,Sun,7,5,46,9.20,0,71.4%,6.57
49,DaeSean Hamilton\HamiDa01,WR,23.280,2018-12-15,NFL,DEN,,CLE,L 16-17,14,15,Sat,12,7,46,6.57,0,58.3%,3.83
50,Tyreek Hill\HillTy00,WR,24.287,2018-12-13,NFL,KAN,,LAC,L 28-29,14,15,Thu,7,4,46,11.50,0,57.1%,6.57
51,Nyheim Hines\HineNy00,RB,22.034,2018-12-16,NFL,IND,,DAL,W 23-0,14,15,Sun,6,4,45,11.25,0,66.7%,7.50
52,Blake Jarwin\JarwBl00,TE,24.153,2018-12-16,NFL,DAL,@,IND,L 0-23,14,15,Sun,7,4,45,11.25,0,57.1%,6.43
53,Tyler Lockett\LockTy00,WR,26.079,2018-12-16,NFL,SEA,@,SFO,L 23-26,14,15,Sun,2,2,45,22.50,0,100.0%,22.50
54,Aldrick Robinson\RobiAl00,WR,30.083,2018-12-16,NFL,MIN,,MIA,W 41-17,14,15,Sun,2,2,44,22.00,1,100.0%,22.00
55,Darren Waller\WallDa01,TE,26.094,2018-12-16,NFL,OAK,@,CIN,L 16-30,14,15,Sun,1,1,44,44.00,0,100.0%,44.00
56,Bennie Fowler\FowlBe00,WR,27.189,2018-12-16,NFL,NYG,,TEN,L 0-17,14,15,Sun,4,2,43,21.50,0,50.0%,10.75
57,Matt LaCosse\LaCoMa00,TE,26.085,2018-12-15,NFL,DEN,,CLE,L 16-17,14,15,Sat,6,4,43,10.75,0,66.7%,7.17
58,Golden Tate\TateGo00,WR,30.136,2018-12-16,NFL,PHI,@,LAR,W 30-23,14,15,Sun,5,5,43,8.60,0,100.0%,8.60
59,Cole Beasley\BeasCo00,WR,29.234,2018-12-16,NFL,DAL,@,IND,L 0-23,14,15,Sun,7,4,42,10.50,0,57.1%,6.00
60,Calvin Ridley\RidlCa00,WR,23.361,2018-12-16,NFL,ATL,,ARI,W 40-14,14,15,Sun,7,5,42,8.40,0,71.4%,6.00
61,Courtland Sutton\SuttCo00,WR,23.066,2018-12-15,NFL,DEN,,CLE,L 16-17,14,15,Sat,6,5,42,8.40,0,83.3%,7.00
62,Jamaal Williams\WillJa06,RB,23.257,2018-12-16,NFL,GNB,@,CHI,L 17-24,14,15,Sun,5,4,42,10.50,0,80.0%,8.40
63,Ezekiel Elliott\ElliEz00,RB,23.147,2018-12-16,NFL,DAL,@,IND,L 0-23,14,15,Sun,8,7,41,5.86,0,87.5%,5.13
64,Keith Kirkwood\KirkKe00,WR,24.356,2018-12-17,NFL,NOR,@,CAR,W 12-9,14,15,Mon,2,2,40,20.00,0,100.0%,20.00
65,JuJu Smith-Schuster\SmitJu00,WR,22.024,2018-12-16,NFL,PIT,,NWE,W 17-10,14,15,Sun,10,4,40,10.00,0,40.0%,4.00
